692,411,313,306,323,323,316,323.965857178538,316.57595245903
312,506,155,446,126,425,133,425.633553676672,133.017805259977
45,147,43,109,37,117,73,117.288617844641,73.7337160945418
286,63,147,83,188,65,170,65.4657568516527,170.262972497744
593,409,272,317,255,322,271,322.111109886638,271.842038669361
310,261,155,198,172,195,161,195.323051248645,161.022516769053
727,270,326,174,330,200,324,200.708491473847,324.874331777892
1007,173,463,18,386,129,445,129.319005465295,445.870807204289
983,15,418,20,378,35,391,35.1593789599966,391.488649791097
824,124,357,341,381,98,346,98.955855190061,346.999320504926
839,631,361,625,407,594,391,594.872302059586,391.829684598366
227,521,127,144,111,443,97,443.224999732979,97.6104596996429
453,183,214,113,245,138,220,138.907207274888,220.656558245106
8,256,17,194,29,192,32,192.791513263252,32.1252532368605
883,592,383,461,445,537,416,537.696988158623,416.05507239114
397,125,190,97,187,101,202,101.681025099669,202.386892403223
761,118,337,99,345,95,329,95.4946799011125,329.346627499134
80,276,67,301,34,207,75,207.579380728451,75.6181946393837
98,468,77,417,51,382,50,382.882121748455,50.4241939370219
333,580,161,561,121,518,129,518.590062766363,129.302852248892
501,447,231,362,225,360,225,360.624024548404,225.604320408119
558,414,259,332,243,327,257,327.056910232642,257.633029879357
654,293,297,234,302,219,297,219.1069246782,297.082668955407
1004,265,459,58,440,195,454,195.645798983626,454.325452585269
533,123,248,145,241,99,252,99.7144835702666,252.40750228259
316,168,157,144,181,129,170,129.553326099189,170.784147167257
755,203,335,129,341,151,330,151.306433281453,330.803422324043
136,589,93,589,17,530,41,530.114196741268,41.5286546358144
126,392,91,327,84,306,80,306.371327053871,80.2150551782399
653,604,296,625,262,553,302,553.707971262817,302.158922257014
904,408,389,330,425,320,399,320.810614521071,399.76796806655
753,444,334,417,115,357,341,357.431122221365,341.462429506598
601,95,275,87,266,82,275,82.3622384723013,275.784148952267
636,627,289,37,72,587,293,587.575199280486,293.289706339996
170,45,105,45,167,55,137,55.950797392131,137.605395127537
931,578,394,595,448,518,428,518.322486503041,428.319883953232
267,216,141,135,149,162,152,162.492986068224,152.223653138047
525,275,244,174,263,205,245,205.305465749064,245.401055146064
343,150,164,134,202,117,178,117.766536612283,178.291662479282
339,108,163,135,149,91,180,91.6170333702442,180.39433514484
920,165,393,535,442,124,381,124.815597621002,381.505491274837
402,446,191,444,193,359,181,359.598022978087,181.024977565811
580,337,268,252,265,255,268,255.959244443476,268.145638739941
25,150,34,494,8,119,65,119.308220383536,65.5302761780534
967,142,406,47,382,109,391,109.69734489065,391.313481136194
576,71,266,80,284,68,268,68.425232487099,268.319935095657
4,25,12,37,85,46,65,46.3341294855287,65.6881560295951
663,285,303,183,77,212,302,212.670039220982,302.845871725007
685,628,311,626,296,589,323,589.451662187182,323.182979005
773,276,342,210,330,205,340,205.24528843749,340.736425214679
577,118,267,113,245,96,268,96.388165861928,268.850907516883
483,383,225,317,255,297,222,297.440470240312,222.209531107557
531,425,246,373,224,338,243,338.041146964864,243.127347382717
903,394,389,366,419,307,398,307.216735521149,398.250703819461
246,615,133,129,413,567,86,567.374007306526,86.9543936326834
518,25,242,36,157,43,249,43.0864061724485,249.254326163073
672,393,306,336,321,306,308,306.555802783153,308.430945197389
451,353,213,296,239,270,211,270.260031597454,211.297603355109
635,607,289,586,277,557,292,557.947199344792,292.960024873941
615,312,282,242,264,234,282,234.724009548305,282.354257414485
610,610,279,37,85,562,279,562.167785148323,279.727738515804
125,317,89,232,126,240,90,240.227193752188,90.4342548859389
677,303,308,225,298,227,308,227.125452253689,308.189897410272
399,303,190,206,192,228,191,228.016724234061,191.378048674352
61,399,51,494,8,313,36,313.117846716355,36.9106450481587
901,375,389,307,356,289,396,289.301613630897,396.251129310487
150,534,98,531,30,458,60,458.816501516303,60.507977456061
671,293,306,133,333,219,305,219.03519962132,305.969652276349
863,562,371,480,434,496,396,496.523450428445,396.384937451747
351,327,170,268,162,248,169,248.044875983207,169.602397058403
623,543,284,544,308,471,285,471.234948660738,285.807388036957
530,411,245,325,244,324,242,324.141009300171,242.482800316313
